Domain: Depots,Minutes,Seconds,Milliseconds,,Minutes,Seconds,Milliseconds,,Minutes,Seconds
,,,,,,,,,,
domain skipped,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
domainR skipped,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
real,0,0,9,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,8,,,,,,,
,,,,,,,,,,
FastForward: Depots/pfile19,,,,,,,,,,
,,,,,,,,,,
real,0,0,46,,,,,,,
user,0,0,40,,,,,,,
sys,0,0,4,,,,,,,
,,,,,,,,,,
PlanningFacts: Depots/pfile19,,,,,,,,,,
,,,,,,,,,,
real,0,0,53,,,,,,,
user,0,0,52,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Depots/pfile1,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Depots/pfile1,,,,,,,,,,
,,,,,,,,,,
real,0,0,2,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
FastForward: Depots/pfile1,,,,,,,,,,
,,,,,,,,,,
real,0,0,2,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
PlanningFacts: Depots/pfile1,,,,,,,,,,
,,,,,,,,,,
real,0,0,2,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Depots/pfile20,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Depots/pfile20,,,,,,,,,,
,,,,,,,,,,
real,0,0,46,,,,,,,
user,0,0,40,,,,,,,
sys,0,0,4,,,,,,,
,,,,,,,,,,
FastForward: Depots/pfile20,,,,,,,,,,
,,,,,,,,,,
real,0,2,52,,,,,,,
user,0,2,48,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
PlanningFacts: Depots/pfile20,,,,,,,,,,
,,,,,,,,,,
real,0,2,120,,,,,,,
user,0,2,112,,,,,,,
sys,0,0,4,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Depots/pfile21,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Depots/pfile21,,,,,,,,,,
,,,,,,,,,,
real,0,0,33,,,,,,,
