Domain: Freecell,Minutes,Seconds,Milliseconds,,Minutes,Seconds,Milliseconds,,Minutes,Seconds
,,,,,,,,,,
domain skipped,,,,,,,,,,
FastForwardR: Freecell/pfile19,,,,,,,,,,
,,,,,,,,,,
real,0,0,367,,,,,,,
user,0,0,356,,,,,,,
sys,0,0,8,,,,,,,
,,,,,,,,,,
FastForward: Freecell/pfile19,,,,,,,,,,
,,,,,,,,,,
real,0,46,360,,,,,,,
user,0,46,308,,,,,,,
sys,0,0,40,,,,,,,
,,,,,,,,,,
PlanningFacts: Freecell/pfile19,,,,,,,,,,
,,,,,,,,,,
real,0,47,85,,,,,,,
user,0,47,40,,,,,,,
sys,0,0,28,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Freecell/pfile1,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Freecell/pfile1,,,,,,,,,,
,,,,,,,,,,
real,0,0,3,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
FastForward: Freecell/pfile1,,,,,,,,,,
,,,,,,,,,,
real,0,0,3,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
PlanningFacts: Freecell/pfile1,,,,,,,,,,
,,,,,,,,,,
real,0,0,3,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Freecell/pfile20,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Freecell/pfile20,,,,,,,,,,
,,,,,,,,,,
real,0,0,390,,,,,,,
user,0,0,376,,,,,,,
sys,0,0,12,,,,,,,
,,,,,,,,,,
FastForward: Freecell/pfile20,,,,,,,,,,
,,,,,,,,,,
real,1,40,366,,,,,,,
user,1,40,288,,,,,,,
sys,0,0,68,,,,,,,
,,,,,,,,,,
PlanningFacts: Freecell/pfile20,,,,,,,,,,
,,,,,,,,,,
real,1,36,690,,,,,,,
user,1,36,636,,,,,,,
sys,0,0,48,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Freecell/pfile2,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Freecell/pfile2,,,,,,,,,,
,,,,,,,,,,
real,0,0,5,,,,,,,
user,0,0,4,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
FastForward: Freecell/pfile2,,,,,,,,,,
,,,,,,,,,,
real,0,0,4,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
PlanningFacts: Freecell/pfile2,,,,,,,,,,
,,,,,,,,,,
real,0,0,5,,,,,,,
user,0,0,4,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Freecell/pfile3,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Freecell/pfile3,,,,,,,,,,
,,,,,,,,,,
real,0,0,7,,,,,,,
user,0,0,4,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
FastForward: Freecell/pfile3,,,,,,,,,,
,,,,,,,,,,
real,0,0,6,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,4,,,,,,,
,,,,,,,,,,
PlanningFacts: Freecell/pfile3,,,,,,,,,,
,,,,,,,,,,
real,0,0,8,,,,,,,
user,0,0,4,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Freecell/pfile4,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Freecell/pfile4,,,,,,,,,,
,,,,,,,,,,
real,0,0,8,,,,,,,
user,0,0,4,,,,,,,
sys,0,0,0,,,,,,,
