Domain: Rovers,Minutes,Seconds,Milliseconds,,Minutes,Seconds,Milliseconds,,Minutes,Seconds
,,,,,,,,,,
domain skipped,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
domainR skipped,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
real,0,0,9,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,8,,,,,,,
,,,,,,,,,,
FastForward: Rovers/pfile19,,,,,,,,,,
,,,,,,,,,,
real,0,0,106,,,,,,,
user,0,0,100,,,,,,,
sys,0,0,4,,,,,,,
,,,,,,,,,,
PlanningFacts: Rovers/pfile19,,,,,,,,,,
,,,,,,,,,,
real,0,0,118,,,,,,,
user,0,0,108,,,,,,,
sys,0,0,8,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Rovers/pfile1,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Rovers/pfile1,,,,,,,,,,
,,,,,,,,,,
real,0,0,2,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
FastForward: Rovers/pfile1,,,,,,,,,,
,,,,,,,,,,
real,0,0,2,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
PlanningFacts: Rovers/pfile1,,,,,,,,,,
,,,,,,,,,,
real,0,0,2,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Rovers/pfile20,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Rovers/pfile20,,,,,,,,,,
,,,,,,,,,,
real,0,0,13,,,,,,,
user,0,0,4,,,,,,,
sys,0,0,8,,,,,,,
,,,,,,,,,,
FastForward: Rovers/pfile20,,,,,,,,,,
,,,,,,,,,,
real,0,0,282,,,,,,,
user,0,0,280,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
PlanningFacts: Rovers/pfile20,,,,,,,,,,
,,,,,,,,,,
real,0,0,301,,,,,,,
user,0,0,300,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Rovers/pfile2,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Rovers/pfile2,,,,,,,,,,
,,,,,,,,,,
real,0,0,2,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
FastForward: Rovers/pfile2,,,,,,,,,,
,,,,,,,,,,
real,0,0,2,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
PlanningFacts: Rovers/pfile2,,,,,,,,,,
,,,,,,,,,,
real,0,0,2,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Rovers/pfile3,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Rovers/pfile3,,,,,,,,,,
,,,,,,,,,,
real,0,0,2,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
FastForward: Rovers/pfile3,,,,,,,,,,
,,,,,,,,,,
real,0,0,2,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
PlanningFacts: Rovers/pfile3,,,,,,,,,,
,,,,,,,,,,
real,0,0,2,,,,,,,
user,0,0,4,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Rovers/pfile4,,,,,,,,,,
,,,,,,,,,,
