Domain: Blocksworld,Minutes,Seconds,Milliseconds,,Minutes,Seconds,Milliseconds,,Minutes,Seconds
,,,,,,,,,,
domain skipped,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
domainR skipped,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Blocksworld/probBLOCKS-0-0-0-0,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Blocksworld/probBLOCKS-0-0-0-0,,,,,,,,,,
,,,,,Total for FFR,,,,,
FastForwardR: Blocksworld/probBLOCKS-13-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,44,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
FastForward: Blocksworld/probBLOCKS-13-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,3,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
PlanningFacts: Blocksworld/probBLOCKS-13-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,146,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,4,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Blocksworld/probBLOCKS-14-0,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Blocksworld/probBLOCKS-14-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,73,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
FastForward: Blocksworld/probBLOCKS-14-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,3,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
PlanningFacts: Blocksworld/probBLOCKS-14-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,10,,,,,,,
user,0,0,8,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
probBLOCKS-15-0 skipped,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
probblocks-17-0 skipped,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
probblocks-18-0 skipped,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Blocksworld/probblocks-19-0,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Blocksworld/probblocks-19-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,53,,,,,,,
user,0,0,4,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
FastForward: Blocksworld/probblocks-19-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,5,,,,,,,
user,0,0,4,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
PlanningFacts: Blocksworld/probblocks-19-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,10,,,,,,,
user,0,0,8,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Blocksworld/probblocks-20-0,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Blocksworld/probblocks-20-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,30,,,,,,,
user,0,0,4,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
FastForward: Blocksworld/probblocks-20-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,4,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,4,,,,,,,
,,,,,,,,,,
PlanningFacts: Blocksworld/probblocks-20-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,10,,,,,,,
user,0,0,8,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Blocksworld/probblocks-21-0,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Blocksworld/probblocks-21-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,30,,,,,,,
user,0,0,4,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
FastForward: Blocksworld/probblocks-21-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,7,,,,,,,
user,0,0,4,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
PlanningFacts: Blocksworld/probblocks-21-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,14,,,,,,,
user,0,0,12,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Blocksworld/probblocks-22-0,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Blocksworld/probblocks-22-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,70,,,,,,,
user,0,0,4,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
FastForward: Blocksworld/probblocks-22-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,129,,,,,,,
user,0,0,128,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
PlanningFacts: Blocksworld/probblocks-22-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,142,,,,,,,
user,0,0,140,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Blocksworld/probblocks-23-0,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Blocksworld/probblocks-23-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,28,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,4,,,,,,,
,,,,,,,,,,
FastForward: Blocksworld/probblocks-23-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,6,,,,,,,
user,0,0,4,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
PlanningFacts: Blocksworld/probblocks-23-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,14,,,,,,,
user,0,0,12,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
probblocks-24-0 skipped,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Blocksworld/probblocks-25-0,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Blocksworld/probblocks-25-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,81,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,4,,,,,,,
,,,,,,,,,,
FastForward: Blocksworld/probblocks-25-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,275,,,,,,,
user,0,0,268,,,,,,,
sys,0,0,4,,,,,,,
,,,,,,,,,,
PlanningFacts: Blocksworld/probblocks-25-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,294,,,,,,,
user,0,0,272,,,,,,,
sys,0,0,20,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Blocksworld/probblocks-26-0,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Blocksworld/probblocks-26-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,41,,,,,,,
user,0,0,4,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
FastForward: Blocksworld/probblocks-26-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,9,,,,,,,
user,0,0,8,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
PlanningFacts: Blocksworld/probblocks-26-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,19,,,,,,,
user,0,0,16,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Blocksworld/probblocks-27-0,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Blocksworld/probblocks-27-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,19,,,,,,,
user,0,0,4,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
FastForward: Blocksworld/probblocks-27-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,7,,,,,,,
user,0,0,4,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
PlanningFacts: Blocksworld/probblocks-27-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,19,,,,,,,
user,0,0,16,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Blocksworld/probblocks-28-0,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Blocksworld/probblocks-28-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,278,,,,,,,
user,0,0,4,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
FastForward: Blocksworld/probblocks-28-0,,,,,,,,,,
,,,,,,,,,,
real,0,7,685,,,,,,,
user,0,7,640,,,,,,,
sys,0,0,44,,,,,,,
,,,,,,,,,,
PlanningFacts: Blocksworld/probblocks-28-0,,,,,,,,,,
,,,,,,,,,,
real,0,7,756,,,,,,,
user,0,7,716,,,,,,,
sys,0,0,36,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Blocksworld/probblocks-29-0,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Blocksworld/probblocks-29-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,21,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,8,,,,,,,
,,,,,,,,,,
FastForward: Blocksworld/probblocks-29-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,8,,,,,,,
user,0,0,4,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
PlanningFacts: Blocksworld/probblocks-29-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,22,,,,,,,
user,0,0,16,,,,,,,
