Domain: Blocksworld,Minutes,Seconds,Milliseconds,,Minutes,Seconds,Milliseconds,,Minutes,Seconds
,,,,,,,,,,
domain skipped,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
domainR skipped,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Blocksworld/probBLOCKS-0-0-0-0,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Blocksworld/probBLOCKS-0-0-0-0,,,,,,,,,,
,,,,,Total for FFR,,,,,
FastForwardR: Blocksworld/probblocks-50-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,49,,,,,,,
user,0,0,20,,,,,,,
sys,0,0,8,,,,,,,
,,,,,,,,,,
FastForward: Blocksworld/probblocks-50-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,59,,,,,,,
user,0,0,52,,,,,,,
sys,0,0,4,,,,,,,
,,,,,,,,,,
PlanningFacts: Blocksworld/probblocks-50-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,136,,,,,,,
user,0,0,132,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Blocksworld/probBLOCKS-5-0,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Blocksworld/probBLOCKS-5-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,20,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
FastForward: Blocksworld/probBLOCKS-5-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,2,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
PlanningFacts: Blocksworld/probBLOCKS-5-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,2,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Blocksworld/probBLOCKS-6-0,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Blocksworld/probBLOCKS-6-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,30,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
FastForward: Blocksworld/probBLOCKS-6-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,2,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
PlanningFacts: Blocksworld/probBLOCKS-6-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,2,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Blocksworld/probBLOCKS-7-0,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Blocksworld/probBLOCKS-7-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,17,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
FastForward: Blocksworld/probBLOCKS-7-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,2,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
PlanningFacts: Blocksworld/probBLOCKS-7-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,2,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,4,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Blocksworld/probBLOCKS-8-0,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Blocksworld/probBLOCKS-8-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,17,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
FastForward: Blocksworld/probBLOCKS-8-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,2,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
PlanningFacts: Blocksworld/probBLOCKS-8-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,2,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Blocksworld/probBLOCKS-9-0,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Blocksworld/probBLOCKS-9-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,30,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
FastForward: Blocksworld/probBLOCKS-9-0,,,,,,,,,,
,,,,,,,,,,
real,0,1,379,,,,,,,
user,0,1,364,,,,,,,
sys,0,0,12,,,,,,,
,,,,,,,,,,
PlanningFacts: Blocksworld/probBLOCKS-9-0,,,,,,,,,,
,,,,,,,,,,
real,0,1,370,,,,,,,
user,0,1,324,,,,,,,
sys,0,0,44,,,,,,,
