Domain: Zenotravel,Minutes,Seconds,Milliseconds,,Minutes,Seconds,Milliseconds,,Minutes,Seconds
,,,,,,,,,,
domain skipped,,,,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Zenotravel/pfile19,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Zenotravel/pfile19,,,,,,,,,,
,,,,,,,,,,
real,0,0,104,,,,,,,
user,0,0,92,,,,,,,
sys,0,0,12,,,,,,,
,,,,,,,,,,
FastForward: Zenotravel/pfile19,,,,,,,,,,
,,,,,,,,,,
real,0,0,411,,,,,,,
user,0,0,408,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
PlanningFacts: Zenotravel/pfile19,,,,,,,,,,
,,,,,,,,,,
real,0,0,454,,,,,,,
user,0,0,452,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Zenotravel/pfile1,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Zenotravel/pfile1,,,,,,,,,,
,,,,,,,,,,
real,0,0,2,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
FastForward: Zenotravel/pfile1,,,,,,,,,,
,,,,,,,,,,
real,0,0,2,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
PlanningFacts: Zenotravel/pfile1,,,,,,,,,,
,,,,,,,,,,
real,0,0,1,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,4,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Zenotravel/pfile20,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Zenotravel/pfile20,,,,,,,,,,
,,,,,,,,,,
real,0,0,228,,,,,,,
user,0,0,220,,,,,,,
sys,0,0,4,,,,,,,
,,,,,,,,,,
FastForward: Zenotravel/pfile20,,,,,,,,,,
,,,,,,,,,,
real,0,0,423,,,,,,,
user,0,0,408,,,,,,,
sys,0,0,12,,,,,,,
,,,,,,,,,,
PlanningFacts: Zenotravel/pfile20,,,,,,,,,,
,,,,,,,,,,
real,0,0,525,,,,,,,
user,0,0,516,,,,,,,
sys,0,0,8,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Zenotravel/pfile2,,,,,,,,,,
,,,,,,,,,,
